name,available,raw,null,margin,score
decodability,True,0.9392924237197251,0.5,0.3880545070653463,0.9701362676633657
sufficiency,True,7.943198027697089e-05,0.0,7.943198027697089e-05,0.33359810660092326
selectivity,True,0.16522177091252802,0.0,0.16522177091252802,0.4720622026072229
content_adjacency,False,nan,nan,nan,nan
faithful_rank,False,nan,nan,nan,nan
stability,True,0.7757114455073829,0.029271142705362452,0.7464403028020205,0.7689482973786893
dose_response,False,nan,nan,nan,nan
graded_encoding,False,nan,nan,nan,nan
abstraction,True,0.5219899029907559,0.5,0.021989902990755872,0.043979805981511744
effective_rank,True,2.757623126847599,3.0,0.2423768731524012,0.24237687403121289
